timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753970826893,2188,Get Home Page-4,200,,1_ Search - Ultimate Thread Group 1-7,text,true,,1452,455,59,94,https://petstore.octoperf.com/,2188,0,1647
1753970830176,551,Get Home Page-7,200,,1_ Search - Ultimate Thread Group 1-7,text,true,,5664,525,61,100,https://petstore.octoperf.com/actions/Catalog.action,551,0,0
1753970830728,827,Get Home Page-9,200,,1_ Search - Ultimate Thread Group 1-7,text,true,,16590,552,61,100,https://petstore.octoperf.com/images/logo-topbar.svg,494,0,0
1753970826781,601,Type and Search,200,"Number of samples in transaction : 1, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-48,,true,,3442,968,61,100,null,0,4257,0
1753970831038,601,Type and Search-22,200,,1_ Search - Ultimate Thread Group 1-48,text,true,,3442,968,61,100,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=89BCDD5E8DF15351B7C17616FEC2CB7E,601,0,0
1753970827079,3516,Get Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-23,,true,,23028,1638,61,100,null,0,1083,1645
1753970827080,2177,Get Home Page-4,200,,1_ Search - Ultimate Thread Group 1-23,text,true,,1452,508,59,95,https://petstore.octoperf.com/,2177,0,1645
1753970830338,520,Get Home Page-7,200,,1_ Search - Ultimate Thread Group 1-23,text,true,,4986,578,61,100,https://petstore.octoperf.com/actions/Catalog.action,519,0,0
1753970830858,819,Get Home Page-9,200,,1_ Search - Ultimate Thread Group 1-23,text,true,,16590,552,61,100,https://petstore.octoperf.com/images/logo-topbar.svg,543,0,0
1753970827058,3530,Get Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-55,,true,,23028,1638,61,100,null,0,1146,1651
1753970827059,2177,Get Home Page-4,200,,1_ Search - Ultimate Thread Group 1-55,text,true,,1452,508,59,95,https://petstore.octoperf.com/,2177,0,1651
1753970830380,521,Get Home Page-7,200,,1_ Search - Ultimate Thread Group 1-55,text,true,,4986,578,61,100,https://petstore.octoperf.com/actions/Catalog.action,521,0,0
1753970830901,832,Get Home Page-9,200,,1_ Search - Ultimate Thread Group 1-55,text,true,,16590,552,61,100,https://petstore.octoperf.com/images/logo-topbar.svg,562,0,0
1753970827252,3481,Get Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-22,,true,,23032,1638,61,100,null,0,1050,1614
1753970827253,2128,Get Home Page-4,200,,1_ Search - Ultimate Thread Group 1-22,text,true,,1452,508,60,96,https://petstore.octoperf.com/,2128,0,1614
1753970830429,498,Get Home Page-7,200,,1_ Search - Ultimate Thread Group 1-22,text,true,,4990,578,61,100,https://petstore.octoperf.com/actions/Catalog.action,498,0,0
1753970830928,855,Get Home Page-9,200,,1_ Search - Ultimate Thread Group 1-22,text,true,,16590,552,61,100,https://petstore.octoperf.com/images/logo-topbar.svg,550,0,0
1753970829190,583,Click on ProductID,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-27,,true,,4093,662,30,100,null,0,2062,0
1753970831251,583,Click on ProductID-29,200,,2_ View Details - Ultimate Thread Group 2-27,text,true,,4093,662,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-FW-01,583,0,0
1753970827128,3630,Get Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-56,,true,,23028,1638,61,100,null,0,1112,1679
